date,open,high,close,low,volume,amount
2017-08-17,21.18,21.25,21.2,21.01,19774876.0,433006766.0
2017-08-16,21.38,21.38,21.14,21.04,22956485.0,501790367.0
2017-08-15,21.27,21.45,21.3,21.14,24772245.0,544574594.0
2017-08-14,21.4,21.52,21.23,21.02,40087039.0,879296826.0
2017-08-11,21.86,21.95,21.3,21.28,34413096.0,768450897.0
2017-08-10,22.24,22.24,22.05,21.79,23930229.0,543681994.0
2017-08-09,22.05,22.32,22.2,21.97,24498395.0,561145593.0
2017-08-08,22.06,22.06,22.03,21.84,19158501.0,434919030.0
2017-08-07,22.07,22.3,21.97,21.94,23409149.0,533908530.0
2017-08-04,22.25,22.31,22.09,21.97,29612306.0,676533261.0
2017-08-03,22.81,22.81,22.35,22.04,45518939.0,1047661125.0
2017-08-02,22.68,23.33,22.81,22.66,35391017.0,841309696.0
2017-08-01,22.59,22.78,22.65,22.44,20952262.0,490486919.0
2017-07-31,22.75,22.81,22.61,22.34,30942482.0,721127920.0
2017-07-28,22.25,23.06,22.86,22.25,41250768.0,971981311.0
2017-07-27,22.68,22.86,22.25,22.19,42635128.0,991318780.0
2017-07-26,22.52,22.91,22.65,22.47,30715942.0,719797707.0
2017-07-25,22.83,22.96,22.5,22.46,36265480.0,849637919.0
2017-07-24,23.89,23.91,23.02,22.62,83526009.0,2000738201.0
2017-07-21,24.37,24.8,23.97,23.84,47766255.0,1195588636.0
2017-07-20,24.04,24.8,24.52,23.92,63367705.0,1598967701.0
2017-07-19,24.04,25.21,24.32,23.63,100807070.0,2526934175.0
2017-07-18,24.74,24.96,24.47,24.07,79183377.0,2004962442.0
2017-07-14,23.65,24.02,23.79,23.56,20179731.0,495832294.0
2017-07-13,24.1,24.52,23.63,23.6,83337031.0,2064324255.0
2017-07-12,24.86,25.83,24.63,24.39,99689518.0,2583415792.0
2017-07-11,23.48,24.28,23.94,23.36,47552025.0,1179893510.0
2017-07-10,23.6,24.55,23.63,23.43,60925194.0,1510229003.0
2017-07-07,23.48,24.27,23.85,23.24,58398256.0,1442448492.0
2017-07-06,23.51,23.85,23.43,23.17,47476922.0,1154892664.0
2017-07-05,23.16,23.84,23.74,22.66,74782798.0,1802258145.0
2017-07-04,23.77,24.11,23.08,22.75,74051874.0,1798526827.0
2017-07-03,23.95,24.38,23.77,23.56,45293799.0,1115270383.0
2017-06-30,24.18,24.56,24.15,23.83,59561483.0,1487556605.0
2017-06-29,24.34,24.59,24.34,23.76,70695831.0,1767701602.0
2017-06-28,24.55,25.04,24.18,23.97,94632009.0,2391062421.0
2017-06-27,25.16,25.18,24.7,24.35,119838030.0,3059693495.0
2017-06-26,24.12,25.61,25.61,23.75,171118298.0,4396209720.0
2017-06-23,21.13,23.28,23.28,21.09,125118677.0,2905465113.0
2017-06-22,20.41,21.57,21.16,20.41,71592906.0,1562559167.0
2017-06-21,20.65,20.73,20.35,20.22,19454251.0,411153771.0
2017-06-20,20.25,20.57,20.34,20.14,23675586.0,497795185.0
2017-06-19,20.25,20.38,20.29,20.22,11891552.0,249680284.0
2017-06-16,20.36,20.49,20.25,20.22,13929822.0,292396355.0
2017-06-15,20.56,20.6,20.35,20.14,23320862.0,489523685.0
2017-06-14,21.18,21.18,20.65,20.62,37010735.0,798534301.0
2017-06-13,21.19,21.73,21.28,20.8,47100192.0,1040218312.0
2017-06-12,20.78,22.05,20.99,20.78,94427646.0,2080848959.0
2017-06-06,20.36,20.75,20.19,20.15,49277587.0,1044876413.0
2017-06-05,20.07,20.56,20.41,20.03,28554445.0,602173927.0
2017-06-02,20.39,20.6,20.26,20.1,23539743.0,493992186.0
2017-06-01,20.41,20.67,20.4,20.25,26636505.0,562162013.0
2017-05-31,20.79,20.87,20.56,20.22,68233032.0,1447984277.0
2017-05-26,19.64,20.07,19.88,19.41,40065893.0,814867078.0
2017-05-25,18.52,20.15,19.83,18.49,89697925.0,1815758310.0
2017-05-24,18.51,18.68,18.56,18.3,18928992.0,362272697.0
2017-05-23,18.39,18.67,18.6,18.3,20271637.0,387974307.0
2017-05-22,18.54,18.54,18.45,18.22,14729287.0,280016352.0
2017-05-19,18.45,18.56,18.54,18.4,10237329.0,195769345.0
2017-05-18,18.4,18.49,18.42,18.35,10426053.0,198884858.0
2017-05-17,18.5,18.55,18.51,18.39,13924757.0,265877523.0
2017-05-16,18.67,18.68,18.6,18.25,18923280.0,360407235.0
2017-05-15,18.77,18.83,18.71,18.64,12209325.0,236414786.0
2017-05-12,18.48,18.81,18.77,18.31,22219376.0,426308513.0
2017-05-11,18.06,18.77,18.61,17.89,34725493.0,661591578.0
2017-05-10,18.01,18.22,18.06,18.01,15607522.0,292340816.0
2017-05-09,17.83,18.07,18.01,17.72,12356422.0,229217675.0
2017-05-08,18.27,18.34,17.87,17.84,18399614.0,341697835.0
2017-05-05,18.33,18.45,18.27,18.19,11655082.0,220659845.0
2017-05-04,18.28,18.56,18.4,18.28,17846705.0,340627392.0
2017-05-03,18.57,18.62,18.24,18.21,26926611.0,511549326.0
2017-05-02,18.67,18.74,18.57,18.48,18442367.0,353863949.0
2017-04-28,18.75,18.91,18.86,18.5,35743115.0,690773486.0
2017-04-27,19.66,19.66,19.11,18.38,51911845.0,1018995251.0
2017-04-26,19.82,19.86,19.69,19.67,18619290.0,379882400.0
2017-04-25,19.77,19.96,19.88,19.73,13616342.0,279061574.0
2017-04-24,20.0,20.01,19.76,19.65,18009295.0,368489230.0
2017-04-21,19.96,20.07,20.0,19.88,20844457.0,430650189.0
2017-04-20,19.83,20.07,19.96,19.83,24821378.0,512035281.0
2017-04-19,19.78,19.95,19.86,19.64,19632759.0,401696832.0
2017-04-18,19.89,19.97,19.8,19.79,13598882.0,279288150.0
2017-04-17,19.96,19.96,19.89,19.7,16362363.0,335002734.0
2017-04-14,20.24,20.24,19.96,19.93,21850597.0,452007098.0
2017-04-13,20.31,20.46,20.25,20.04,26910139.0,562839617.0
2017-04-12,20.02,20.86,20.33,20.02,64585536.0,1363421135.0
2017-04-11,19.93,20.02,20.02,19.54,45886018.0,938204314.0
2017-04-10,20.04,20.07,19.93,19.84,27459940.0,565963441.0
2017-04-07,20.11,20.23,20.12,19.99,31390635.0,652368860.0
2017-04-06,19.96,20.17,20.11,19.91,53371294.0,1105684881.0
2017-04-05,19.96,20.31,19.91,19.88,85199675.0,1758702694.0
2017-03-31,19.86,19.96,19.91,19.84,15329708.0,315290025.0
2017-03-30,20.31,20.37,19.86,19.81,31764040.0,656689639.0
2017-03-29,20.58,20.59,20.32,20.31,23103560.0,487586663.0
2017-03-28,20.51,20.73,20.57,20.33,25855177.0,548747229.0
2017-03-27,20.87,20.89,20.51,20.41,39465474.0,842704878.0
2017-03-24,20.7,20.98,20.79,20.6,38448342.0,825818868.0
2017-03-23,20.39,21.19,20.75,20.27,53490634.0,1144906754.0
2017-03-22,20.46,20.48,20.38,20.26,24358136.0,512675947.0
2017-03-21,20.32,20.64,20.49,20.14,28824296.0,608369917.0
2017-03-20,20.79,20.79,20.44,20.17,55586513.0,1170268059.0
2017-03-17,21.28,21.55,20.84,20.8,78914655.0,1719091622.0
2017-03-16,20.71,20.97,20.57,20.44,51662392.0,1101853842.0
2017-03-15,20.66,20.86,20.59,20.31,50642669.0,1077880889.0
2017-03-14,20.13,21.67,20.86,20.04,120994029.0,2610434158.0
2017-03-13,19.97,20.2,20.03,19.84,41923514.0,869278705.0
2017-03-10,19.85,20.07,19.93,19.85,23630845.0,488181187.0
2017-03-09,19.93,20.05,19.84,19.68,24603911.0,504798751.0
2017-03-08,19.61,20.17,20.04,19.6,65786244.0,1358826200.0
2017-03-07,19.58,19.63,19.6,19.52,18157223.0,367187322.0
2017-03-06,19.59,19.72,19.56,19.48,27633698.0,559074363.0
2017-03-03,19.67,19.7,19.54,19.46,17026059.0,344069858.0
2017-03-02,19.85,19.87,19.67,19.66,22282700.0,454426641.0
2017-03-01,19.88,19.92,19.83,19.82,25060119.0,514166300.0
2017-02-28,19.85,19.92,19.86,19.8,15976221.0,327716632.0
2017-02-27,19.9,19.96,19.85,19.81,29344657.0,602503178.0
2017-02-24,20.04,20.09,20.04,19.95,21753989.0,449771425.0
2017-02-23,20.25,20.29,20.11,20.04,19163766.0,398327272.0
2017-02-22,20.26,20.26,20.22,20.11,22536608.0,470272735.0
2017-02-21,20.04,20.29,20.29,19.96,53685670.0,1120699391.0
2017-02-20,19.88,20.05,19.94,19.85,24748349.0,510716895.0
2017-02-17,20.0,20.0,19.87,19.85,19814207.0,407777722.0
2017-02-16,19.99,20.08,20.0,19.92,17105450.0,353048702.0
2017-02-15,20.22,20.22,19.99,19.98,28732257.0,595809503.0
2017-02-14,20.09,20.29,20.23,20.02,36976369.0,771567660.0
2017-02-13,19.97,20.17,20.09,19.92,28517150.0,589942589.0
2017-02-10,20.1,20.1,19.98,19.9,33492607.0,691827769.0
2017-02-09,20.03,20.65,20.12,20.0,67924870.0,1419378674.0
2017-02-08,19.96,20.03,20.01,19.83,18008168.0,371268086.0
