code,date,open,close,high,low,swing,volume
GDAXI,20130307,7934.19,7939.77,7956.26,7911.56,0.56,98781.19
GDAXI,20130306,7907.39,7919.33,7977.64,7898.04,1.01,124626.57
GDAXI,20130305,7779.62,7870.31,7883.6,7772.33,1.45,137283.32
GDAXI,20130304,7654.67,7691.68,7708.88,7637.32,0.93,83887.38
GDAXI,20130301,7735.35,7708.16,7767.67,7627.99,1.8,131318.32
GDAXI,20130228,7712.2,7741.7,7753.39,7691.81,0.8,126361.69
GDAXI,20130227,7641.84,7675.83,7679.44,7565.78,1.5,117566.57
GDAXI,20130226,7682.24,7597.11,7683.96,7589.32,1.22,171515.57
GDAXI,20130225,7731.8,7773.19,7860.57,7726.4,1.75,182462.0
GDAXI,20130222,7619.81,7661.91,7681.12,7607.26,0.97,148914.75
GDAXI,20130221,7681.61,7583.57,7688.44,7561.84,1.64,156412.32
GDAXI,20130220,7747.21,7728.9,7784.64,7709.48,0.97,135413.0
GDAXI,20130219,7614.1,7752.45,7762.9,7611.6,1.98,131078.38
GDAXI,20130218,7591.08,7628.73,7629.78,7568.16,0.81,91570.75
GDAXI,20130215,7636.26,7593.51,7649.5,7588.57,0.8,185136.94
GDAXI,20130214,7697.89,7631.19,7729.36,7607.48,1.58,113779.38
GDAXI,20130213,7678.48,7711.89,7737.41,7650.29,1.14,97751.63
GDAXI,20130212,7619.12,7660.19,7661.97,7593.66,0.89,118827.88
GDAXI,20130211,7627.72,7633.74,7676.82,7597.61,1.04,103660.57
GDAXI,20130208,7607.57,7652.14,7655.31,7577.34,1.03,123635.69
GDAXI,20130207,7581.37,7590.85,7661.31,7565.32,1.27,144796.57
GDAXI,20130206,7665.88,7581.18,7694.42,7537.29,2.05,152984.38
GDAXI,20130205,7643.54,7664.66,7677.14,7622.3,0.72,179590.94
GDAXI,20130204,7822.54,7638.23,7837.64,7637.68,2.55,197214.57
GDAXI,20130201,7792.59,7833.39,7853.37,7784.97,0.88,128953.88
GDAXI,20130131,7800.45,7776.05,7812.34,7765.2,0.6,171415.13
GDAXI,20130130,7855.68,7811.31,7863.35,7775.03,1.13,129319.13
GDAXI,20130129,7841.96,7848.57,7857.14,7800.12,0.73,114467.82
GDAXI,20130128,7859.83,7833.0,7871.79,7831.72,0.51,88204.06
GDAXI,20130125,7746.78,7857.97,7865.16,7743.19,1.57,120195.19
GDAXI,20130124,7700.53,7748.13,7753.3,7661.96,1.19,129648.57
GDAXI,20130123,7702.92,7707.54,7731.63,7684.84,0.61,123888.0
GDAXI,20130122,7741.88,7696.21,7746.91,7634.26,1.45,143511.5
GDAXI,20130121,7727.77,7748.86,7749.82,7719.02,0.4,71750.88
GDAXI,20130118,7747.13,7702.23,7753.49,7702.23,0.66,133349.75
GDAXI,20130117,7677.28,7735.46,7764.03,7662.43,1.32,110870.63
GDAXI,20130116,7661.61,7691.13,7694.8,7643.14,0.67,108713.38
GDAXI,20130115,7704.05,7675.91,7735.21,7635.88,1.29,140265.75
GDAXI,20130114,7737.61,7729.52,7785.82,7702.36,1.08,110488.5
GDAXI,20130111,7725.93,7715.53,7731.45,7683.92,0.62,174958.5
GDAXI,20130110,7732.14,7708.47,7773.69,7685.08,1.15,176131.19
GDAXI,20130109,7713.57,7720.47,7734.78,7688.55,0.6,158333.69
GDAXI,20130108,7710.7,7695.83,7754.38,7683.48,0.92,130425.38
GDAXI,20130107,7760.01,7732.66,7767.55,7713.42,0.7,151695.38
GDAXI,20130104,7740.99,7776.37,7779.67,7727.55,0.67,101576.94
GDAXI,20130103,7762.13,7756.44,7777.02,7737.98,0.5,86174.06
GDAXI,20130102,7689.46,7778.78,7789.94,7689.46,1.32,140345.5
GDAXI,20121228,7649.89,7612.39,7665.68,7602.89,0.82,48123.64
GDAXI,20121227,7652.27,7655.88,7676.5,7640.3,0.47,64569.01
GDAXI,20121221,7632.41,7636.23,7653.73,7596.64,0.74,208158.19
GDAXI,20121220,7642.99,7672.1,7675.45,7635.39,0.52,102027.82
GDAXI,20121219,7675.33,7668.5,7682.9,7655.71,0.36,128885.57
GDAXI,20121218,7634.28,7653.58,7667.91,7626.25,0.55,127196.44
GDAXI,20121217,7604.16,7604.94,7627.14,7564.07,0.83,89699.56
GDAXI,20121214,7599.03,7596.47,7619.26,7571.16,0.63,93629.63
GDAXI,20121213,7618.62,7581.98,7618.62,7561.96,0.74,119239.44
GDAXI,20121212,7595.2,7614.79,7626.4,7590.18,0.48,118107.5
GDAXI,20121211,7529.24,7589.75,7596.9,7518.74,1.04,111325.69
GDAXI,20121210,7484.95,7530.92,7536.6,7457.4,1.05,101722.69
GDAXI,20121207,7539.78,7517.8,7553.05,7487.64,0.87,129904.32
GDAXI,20121206,7469.54,7534.54,7554.51,7461.19,1.25,138744.57
GDAXI,20121205,7480.59,7454.55,7482.28,7428.7,0.72,125610.0
GDAXI,20121204,7428.13,7435.12,7466.25,7417.3,0.66,96648.94
GDAXI,20121203,7427.41,7435.21,7487.89,7419.3,0.93,100563.69
GDAXI,20121130,7399.09,7405.5,7442.6,7398.22,0.6,104670.13
GDAXI,20121129,7382.55,7400.96,7416.52,7377.09,0.54,121105.88
GDAXI,20121128,7317.49,7343.41,7351.48,7265.44,1.17,98242.5
GDAXI,20121127,7343.01,7332.33,7361.55,7307.3,0.74,117186.0
GDAXI,20121126,7286.69,7292.03,7312.86,7273.57,0.54,83949.56
GDAXI,20121123,7258.33,7309.13,7311.55,7219.55,1.27,104506.75
GDAXI,20121122,7210.46,7244.99,7253.02,7205.2,0.67,126772.0
GDAXI,20121121,7148.91,7184.71,7194.79,7139.99,0.76,98222.56
GDAXI,20121120,7098.13,7172.99,7186.61,7092.23,1.32,109243.0
GDAXI,20121119,7020.23,7123.84,7130.87,7007.21,1.78,137507.75
GDAXI,20121116,7045.63,6950.53,7059.83,6950.53,1.55,189837.94
GDAXI,20121115,7064.99,7043.42,7079.22,7021.62,0.81,138533.13
GDAXI,20121114,7156.34,7101.92,7182.81,7084.63,1.37,146557.44
GDAXI,20121113,7131.6,7169.12,7185.29,7074.87,1.54,185563.19
GDAXI,20121112,7164.68,7168.76,7196.0,7138.17,0.81,118847.57
GDAXI,20121109,7220.69,7163.5,7222.87,7064.34,2.2,204075.07
GDAXI,20121108,7260.35,7204.96,7287.0,7184.18,1.42,188728.13
GDAXI,20121107,7425.08,7232.83,7434.96,7226.6,2.82,174471.75
GDAXI,20121106,7336.46,7377.76,7388.98,7319.73,0.95,107334.19
GDAXI,20121105,7320.98,7326.47,7337.47,7304.45,0.45,78945.94
GDAXI,20121102,7336.52,7363.85,7391.04,7314.68,1.04,137462.0
GDAXI,20121101,7255.3,7335.67,7356.18,7255.11,1.39,90003.56
GDAXI,20121031,7305.07,7260.63,7347.51,7260.63,1.19,124993.32
GDAXI,20121030,7239.69,7284.4,7292.83,7239.04,0.75,86875.5
GDAXI,20121029,7205.05,7203.16,7225.32,7171.96,0.74,70905.63
GDAXI,20121026,7161.73,7231.85,7257.37,7147.51,1.53,97024.5
GDAXI,20121025,7203.12,7200.23,7256.22,7181.45,1.04,110262.57
GDAXI,20121024,7202.03,7192.85,7216.13,7120.68,1.33,135667.57
GDAXI,20121023,7339.16,7173.69,7343.6,7153.8,2.59,127313.0
GDAXI,20121022,7372.36,7328.05,7390.1,7313.24,1.04,100695.07
GDAXI,20121019,7413.69,7380.64,7430.12,7363.5,0.9,178612.88
GDAXI,20121018,7401.41,7437.23,7447.81,7389.01,0.8,145422.0
GDAXI,20121017,7381.08,7394.55,7399.99,7367.59,0.44,129161.0
GDAXI,20121016,7309.08,7376.27,7387.78,7293.9,1.29,132649.82
GDAXI,20121015,7237.4,7261.25,7302.23,7237.4,0.9,128055.0
GDAXI,20121012,7260.57,7232.49,7291.24,7232.42,0.81,124913.0
GDAXI,20121011,7192.75,7281.7,7305.46,7182.31,1.71,128546.69
GDAXI,20121010,7219.46,7205.23,7245.17,7201.09,0.61,86649.0
GDAXI,20121009,7306.33,7234.53,7308.13,7221.5,1.19,100584.32
GDAXI,20121008,7340.39,7291.21,7341.28,7286.24,0.74,121128.88
GDAXI,20121005,7327.7,7397.87,7409.78,7312.79,1.33,115166.88
GDAXI,20121004,7368.21,7305.21,7374.86,7283.48,1.25,129875.38
GDAXI,20121003,7283.26,7322.08,7339.33,7272.06,0.92,99332.44
GDAXI,20121002,7278.13,7305.86,7373.15,7266.11,1.46,133883.07
GDAXI,20121001,7227.81,7326.73,7339.2,7225.29,1.58,126099.57
GDAXI,20120928,7330.61,7216.15,7337.17,7215.95,1.66,147382.5
GDAXI,20120927,7313.15,7290.02,7324.97,7268.69,0.77,153893.88
GDAXI,20120926,7362.98,7276.51,7362.98,7255.77,1.44,183905.57
GDAXI,20120925,7406.22,7425.11,7438.89,7369.39,0.94,137219.0
GDAXI,20120924,7419.65,7413.16,7440.49,7388.2,0.7,127430.0
GDAXI,20120921,7409.34,7451.62,7478.53,7391.06,1.18,277450.07
GDAXI,20120920,7322.62,7389.49,7390.46,7313.14,1.05,189994.0
GDAXI,20120919,7387.18,7390.76,7396.12,7326.24,0.95,147347.38
GDAXI,20120918,7350.09,7347.69,7375.0,7304.25,0.96,173484.0
GDAXI,20120917,7390.29,7403.69,7414.22,7382.47,0.43,157752.0
GDAXI,20120914,7397.98,7412.13,7446.47,7388.79,0.79,217511.57
GDAXI,20120913,7341.78,7310.32,7353.22,7280.23,0.99,142287.5
GDAXI,20120912,7331.58,7343.53,7410.36,7307.48,1.41,295644.88
GDAXI,20120911,7197.2,7310.11,7313.48,7186.63,1.76,171053.0
GDAXI,20120910,7207.96,7213.7,7233.92,7203.65,0.42,156719.38
GDAXI,20120907,7183.92,7214.5,7248.51,7182.6,0.92,256352.69
GDAXI,20120906,6984.31,7167.33,7172.32,6977.86,2.79,199496.5
GDAXI,20120905,6941.66,6964.69,7003.53,6892.86,1.6,106806.32
GDAXI,20120904,7012.99,6932.58,7015.71,6920.0,1.36,88146.69
GDAXI,20120903,6946.61,7014.83,7016.31,6944.25,1.03,85292.0
GDAXI,20120831,6897.73,6970.79,7011.45,6889.79,1.76,119106.75
GDAXI,20120830,6962.29,6895.49,6978.5,6871.0,1.53,108238.57
GDAXI,20120829,7003.02,7010.57,7029.8,6945.71,1.2,68940.0
GDAXI,20120828,7004.05,7002.68,7031.16,6976.01,0.78,85889.69
GDAXI,20120827,6960.02,7047.45,7049.48,6946.08,1.48,87025.75
GDAXI,20120824,6957.6,6971.07,6990.07,6885.98,1.5,93794.88
GDAXI,20120823,7065.99,6949.57,7080.74,6923.07,2.25,130440.32
GDAXI,20120822,7048.3,7017.75,7051.77,7005.26,0.66,123998.57
GDAXI,20120821,7048.79,7089.32,7105.43,7041.73,0.91,112586.07
GDAXI,20120820,7037.02,7033.68,7086.22,7008.97,1.1,108628.88
GDAXI,20120817,7011.37,7040.88,7041.11,7000.85,0.58,164033.0
GDAXI,20120816,6958.39,6996.29,7001.4,6929.43,1.04,115100.0
GDAXI,20120815,6953.01,6946.8,6972.64,6910.39,0.89,76009.0
GDAXI,20120814,6965.04,6974.39,6995.03,6939.5,0.8,91374.88
GDAXI,20120813,6935.51,6909.68,6976.31,6882.03,1.36,107657.69
GDAXI,20120810,6927.71,6944.56,6955.38,6891.9,0.91,142176.07
GDAXI,20120809,6979.41,6964.99,6989.15,6891.49,1.4,169141.5
GDAXI,20120808,6944.89,6966.15,6966.15,6907.29,0.84,121071.57
GDAXI,20120807,6909.28,6967.95,6979.63,6902.86,1.11,132939.44
GDAXI,20120806,6845.88,6918.72,6943.32,6845.88,1.42,118895.0
GDAXI,20120803,6626.3,6865.66,6876.74,6621.36,3.87,176772.0
GDAXI,20120802,6756.16,6606.09,6855.71,6596.21,3.84,237751.0
GDAXI,20120801,6775.99,6754.46,6800.1,6735.89,0.95,112333.5
GDAXI,20120731,6780.62,6772.26,6835.19,6756.18,1.17,155517.0
GDAXI,20120730,6729.19,6774.06,6796.61,6703.26,1.4,138641.25
GDAXI,20120727,6605.42,6689.4,6690.43,6513.97,2.68,147755.0
GDAXI,20120726,6393.2,6582.96,6595.58,6324.53,4.23,192523.69
GDAXI,20120725,6387.84,6406.52,6475.33,6375.15,1.57,115693.25
