Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-07-19,33.5,34.77,33.39,34.48,8866300.0,0.0,1.0,33.5,34.77,33.39,34.48,8866300.0
2006-07-18,33.65,34.29,32.96,33.49,5215000.0,0.0,1.0,33.65,34.29,32.96,33.49,5215000.0
2006-07-17,32.79,33.93,32.79,33.67,7197300.0,0.0,1.0,32.79,33.93,32.79,33.67,7197300.0
2006-07-14,33.51,33.73,32.8,32.92,8094800.0,0.0,1.0,33.51,33.73,32.8,32.92,8094800.0
2006-07-13,34.33,34.63,33.71,33.73,6455500.0,0.0,1.0,34.33,34.63,33.71,33.73,6455500.0
2006-07-12,35.6,35.9,34.57,34.63,4894700.0,0.0,1.0,35.6,35.9,34.57,34.63,4894700.0
2006-07-11,35.74,35.92,35.01,35.66,6088600.0,0.0,1.0,35.74,35.92,35.01,35.66,6088600.0
2006-07-10,36.3,36.7,35.4,35.79,3876700.0,0.0,1.0,36.3,36.7,35.4,35.79,3876700.0
2006-07-07,36.71,37.28,35.75,36.11,5004100.0,0.0,1.0,36.71,37.28,35.75,36.11,5004100.0
2006-07-06,37.07,37.74,36.52,36.8,4372700.0,0.0,1.0,37.07,37.74,36.52,36.8,4372700.0
2006-07-05,38.28,38.43,36.78,37.11,5734000.0,0.0,1.0,38.28,38.43,36.78,37.11,5734000.0
2006-07-03,38.52,38.62,38.23,38.61,1436300.0,0.0,1.0,38.52,38.62,38.23,38.61,1436300.0
2006-06-30,38.58,38.84,37.83,38.68,5191200.0,0.0,1.0,38.58,38.84,37.83,38.68,5191200.0
2006-06-29,36.82,38.57,36.7,38.52,6372500.0,0.0,1.0,36.82,38.57,36.7,38.52,6372500.0
2006-06-28,36.7,37.11,36.48,36.7,3751700.0,0.0,1.0,36.7,37.11,36.48,36.7,3751700.0
2006-06-27,36.72,37.5,36.17,36.48,5641000.0,0.0,1.0,36.72,37.5,36.17,36.48,5641000.0
2006-06-26,36.55,37.17,36.43,36.77,3605800.0,0.0,1.0,36.55,37.17,36.43,36.77,3605800.0
2006-06-23,36.46,36.65,36.02,36.55,3923400.0,0.0,1.0,36.46,36.65,36.02,36.55,3923400.0
2006-06-22,36.55,36.8514,36.11,36.37,4732000.0,0.0,1.0,36.55,36.8514,36.11,36.37,4732000.0
2006-06-21,35.34,37.05,35.34,36.65,7865300.0,0.0,1.0,35.34,37.05,35.34,36.65,7865300.0
2006-06-20,35.01,35.65,34.88,35.48,4465500.0,0.0,1.0,35.01,35.65,34.88,35.48,4465500.0
2006-06-19,35.2,35.48,35.04,35.07,4211600.0,0.0,1.0,35.2,35.48,35.04,35.07,4211600.0
2006-06-16,34.88,35.26,34.7,35.09,5135100.0,0.0,1.0,34.88,35.26,34.7,35.09,5135100.0
2006-06-15,33.84,35.17,33.67,34.96,6206100.0,0.0,1.0,33.84,35.17,33.67,34.96,6206100.0
2006-06-14,33.5,33.99,33.08,33.68,4869100.0,0.0,1.0,33.5,33.99,33.08,33.68,4869100.0
2006-06-13,33.49,34.17,33.135,33.47,5403000.0,0.0,1.0,33.49,34.17,33.135,33.47,5403000.0
2006-06-12,34.21,34.45,33.49,33.6,4195800.0,0.0,1.0,34.21,34.45,33.49,33.6,4195800.0
2006-06-09,33.5,34.35,33.45,33.88,5232600.0,0.0,1.0,33.5,34.35,33.45,33.88,5232600.0
2006-06-08,33.55,34.06,32.42,33.55,8311000.0,0.0,1.0,33.55,34.06,32.42,33.55,8311000.0
2006-06-07,33.4,34.54,32.91,33.77,5303800.0,0.0,1.0,33.4,34.54,32.91,33.77,5303800.0
2006-06-06,33.58,33.8,32.93,33.41,4276600.0,0.0,1.0,33.58,33.8,32.93,33.41,4276600.0
2006-06-05,34.46,34.54,33.27,33.49,5049400.0,0.0,1.0,34.46,34.54,33.27,33.49,5049400.0
2006-06-02,35.19,35.22,34.05,34.76,5442900.0,0.0,1.0,35.19,35.22,34.05,34.76,5442900.0
2006-06-01,34.625,35.45,34.3,35.07,5932000.0,0.0,1.0,34.625,35.45,34.3,35.07,5932000.0
2006-05-31,34.735,34.94,33.73,34.61,5196600.0,0.0,1.0,34.735,34.94,33.73,34.61,5196600.0
2006-05-30,35.73,35.75,34.44,34.64,5920800.0,0.0,1.0,35.73,35.75,34.44,34.64,5920800.0
2006-05-26,35.66,36.5,35.46,36.07,4524300.0,0.0,1.0,35.66,36.5,35.46,36.07,4524300.0
2006-05-25,35.36,35.69,34.6,35.63,5845700.0,0.0,1.0,35.36,35.69,34.6,35.63,5845700.0
2006-05-24,33.41,35.23,33.37,35.19,9542100.0,0.0,1.0,33.41,35.23,33.37,35.19,9542100.0
2006-05-23,35.0,36.0,33.76,33.76,8822700.0,0.0,1.0,35.0,36.0,33.76,33.76,8822700.0
2006-05-22,33.96,34.99,33.18,34.83,11122900.0,0.0,1.0,33.96,34.99,33.18,34.83,11122900.0
2006-05-19,32.66,34.0,32.03,33.94,9817200.0,0.0,1.0,32.66,34.0,32.03,33.94,9817200.0
2006-05-18,31.71,33.64,31.52,32.61,12027200.0,0.0,1.0,31.71,33.64,31.52,32.61,12027200.0
2006-05-17,32.45,32.7,31.53,31.61,6704100.0,0.0,1.0,32.45,32.7,31.53,31.61,6704100.0
2006-05-16,32.84,33.02,32.32,32.76,5221600.0,0.0,1.0,32.84,33.02,32.32,32.76,5221600.0
2006-05-15,32.55,32.85,32.21,32.78,4305000.0,0.0,1.0,32.55,32.85,32.21,32.78,4305000.0
2006-05-12,33.55,33.78,32.55,32.73,4873600.0,0.0,1.0,33.55,33.78,32.55,32.73,4873600.0
2006-05-11,34.12,34.15,33.08,33.53,7696000.0,0.0,1.0,34.12,34.15,33.08,33.53,7696000.0
2006-05-10,34.68,35.0,34.1,34.16,3300300.0,0.0,1.0,34.68,35.0,34.1,34.16,3300300.0
2006-05-09,34.42,35.26,34.21,34.84,5484700.0,0.0,1.0,34.42,35.26,34.21,34.84,5484700.0
2006-05-08,34.99,35.31,34.47,34.69,4236800.0,0.0,1.0,34.99,35.31,34.47,34.69,4236800.0
2006-05-05,34.65,35.04,34.15,35.04,5740900.0,0.0,1.0,34.65,35.04,34.15,35.04,5740900.0
2006-05-04,34.62,34.72,34.38,34.47,5997900.0,0.0,1.0,34.62,34.72,34.38,34.47,5997900.0
2006-05-03,34.39,34.39,33.51,33.96,7585900.0,0.0,1.0,34.39,34.39,33.51,33.96,7585900.0
2006-05-02,34.75,34.94,34.23,34.38,5857000.0,0.0,1.0,34.75,34.94,34.23,34.38,5857000.0
2006-05-01,35.06,35.57,34.44,34.59,7072700.0,0.0,1.0,35.06,35.57,34.44,34.59,7072700.0
2006-04-28,35.8,35.89,35.14,35.21,3492500.0,0.0,1.0,35.8,35.89,35.14,35.21,3492500.0
2006-04-27,35.48,35.87,35.3,35.74,5932500.0,0.0,1.0,35.48,35.87,35.3,35.74,5932500.0
2006-04-26,35.35,36.35,35.15,35.79,11071500.0,0.0,1.0,35.35,36.35,35.15,35.79,11071500.0
2006-04-25,35.51,35.77,35.01,35.55,12790500.0,0.0,1.0,35.51,35.77,35.01,35.55,12790500.0
2006-04-24,36.0,36.115,35.32,35.79,3087600.0,0.0,1.0,36.0,36.115,35.32,35.79,3087600.0
2006-04-21,36.76,36.78,35.72,36.03,4423500.0,0.0,1.0,36.76,36.78,35.72,36.03,4423500.0
2006-04-20,36.7,37.2,36.23,36.34,5387600.0,0.0,1.0,36.7,37.2,36.23,36.34,5387600.0
2006-04-19,36.09,36.96,35.89,36.89,4280500.0,0.0,1.0,36.09,36.96,35.89,36.89,4280500.0
